title,price,reviews,url,sales
50,132,1890,https://produto.mercadolivre.com.br/MLB-881359623-tnis-adidas-superstar-colorido-homem-e-mulher-novo-na-caixa-_JM, Tênis adidas Superstar Colorido Homem E Mulher Novo Na Caixa 
150,31,673,https://produto.mercadolivre.com.br/MLB-856916950-tenis-nike-air-max-90-original-masculino-importado-na-caixa-_JM, Tenis Nike Air Max 90 Original Masculino Importado Na Caixa 
59,609,1237,https://produto.mercadolivre.com.br/MLB-843921705-tenis-nike-suketo-sb-cano-alto-skate-casual-estilo-bota-_JM, Tenis Nike Suketo Sb Cano Alto Skate Casual Estilo Bota 
120,113,1201,https://produto.mercadolivre.com.br/MLB-842318222-tenis-masculino-sapatenis-masculino-na-promoco-frete-gratis-_JM, Tenis Masculino Sapatenis Masculino Na Promoção Frete Gratis 
148,74,1031,https://produto.mercadolivre.com.br/MLB-860189580-tnis-masculino-mizuno-prophecy-2-original-mega-oferta--_JM, Tênis Masculino Mizuno Prophecy 2 Original - Mega Oferta ! 
190,89,958,https://produto.mercadolivre.com.br/MLB-867287974-kit-2-sapatnis-tnis-polo-joy-masculino-c-2-chinelos-_JM, Kit 2 Sapatênis Tênis Polo Joy Masculino C/ 2 Chinelos 
100,108,1615,https://produto.mercadolivre.com.br/MLB-854522523-tnis-skatista-masculino-nike-sb-frete-gratis-_JM, Tênis Skatista Masculino-nike Sb Frete Gratis 
80,579,7401,https://produto.mercadolivre.com.br/MLB-853735376-tenis-airmax-lancamento-bolha-de-ar-gel-masculino-e-feminino-_JM, Tenis Airmax Lançamento Bolha De Ar Gel Masculino E Feminino 
50,267,3847,https://produto.mercadolivre.com.br/MLB-841566792-tnis-sapatnis-masculino-adidas-yeezy-bost-2017-_JM, Tênis Sapatênis Masculino adidas Yeezy Bost 2017. 
70,56,1003,https://produto.mercadolivre.com.br/MLB-887070071-tnis-masculino-feminino-nike-roshe-barato-_JM, Tênis Masculino Feminino Nike Roshe Barato 
124,81,889,https://produto.mercadolivre.com.br/MLB-843791364-nike-shox-deliver-foto-original-masculino-pronta-entrega-_JM, Nike Shox Deliver Foto Original Masculino Pronta Entrega 
138,250,2737,https://produto.mercadolivre.com.br/MLB-830059900-tnis-nike-shox-junior-4-molas-2017-masculino-original-_JM, Tênis Nike Shox Junior 4 Molas 2017 Masculino Original 
148,279,2987,https://produto.mercadolivre.com.br/MLB-831207675-tnis-mizuno-wave-prophecy-2-masculino-original-frete-gratis-_JM, Tênis Mizuno Wave Prophecy 2 Masculino Original Frete Grátis 
204,56,779,https://produto.mercadolivre.com.br/MLB-857569050-tnis-mizuno-wave-prophecy-6-masculino-2017-original-5-_JM, Tênis Mizuno Wave Prophecy 6 Masculino 2017 Original 5 
148,22,259,https://produto.mercadolivre.com.br/MLB-902648723-tnis-mizuno-wave-prophecy-2-original-masculino-promoco--_JM, Tênis Mizuno Wave Prophecy 2 Original Masculino Promoção ! 
50,106,1062,https://produto.mercadolivre.com.br/MLB-875232429-tnis-supreme-cano-alto-bota-neymar-jr-masculino-barato-_JM, Tênis Supreme Cano Alto Bota Neymar Jr Masculino Barato 
52,110,1743,https://produto.mercadolivre.com.br/MLB-865595358-tenis-puma-ferrari-barato-masculino-novo-melhor-preco-e-aqui-_JM, Tenis Puma Ferrari Barato Masculino Novo Melhor Preço É Aqui 
100,104,1198,https://produto.mercadolivre.com.br/MLB-835794421-tenis-masculino-e-feminino-adidas-superstar-foundation-_JM, Tenis Masculino E Feminino adidas Superstar Foundation 
50,3,1023,https://produto.mercadolivre.com.br/MLB-920203805-tnis-sapatnis-masculino-adidas-yeezy-boost-2017-_JM, Tênis Sapatênis Masculino adidas Yeezy Boost 2017. 
148,25,321,https://produto.mercadolivre.com.br/MLB-906034315-tnis-mizuno-wave-prophecy-2-masculino-original-promoco--_JM, Tênis Mizuno Wave Prophecy 2 Masculino Original Promoção ! 
59,61,1276,https://produto.mercadolivre.com.br/MLB-881742276-nike-airmax-bolha-gel-promoco-masculino-e-feminino-academia-_JM, Nike Airmax Bolha Gel Promoção Masculino E Feminino Academia 
148,38,563,https://produto.mercadolivre.com.br/MLB-892645226-tnis-mizuno-wave-prophecy-2-masculino-promoco-imperdivel-_JM, Tênis Mizuno Wave Prophecy 2 Masculino Promoção Imperdível!! 
60,153,2088,https://produto.mercadolivre.com.br/MLB-851221094-tenis-masculino-yeezy-bost-2017-sapatenis-masculino-promoco-_JM, Tenis Masculino Yeezy Bost 2017 Sapatenis Masculino Promoção 
74,24,724,https://produto.mercadolivre.com.br/MLB-921039910-tnis-asics-gel-sendai-caminhada-masculino-feminino-original-_JM, Tênis Asics Gel Sendai Caminhada Masculino Feminino Original 
148,10,86,https://produto.mercadolivre.com.br/MLB-914352777-tnis-mizuno-wave-prophecy-2-original-masculino-frete-gratis-_JM, Tênis Mizuno Wave Prophecy 2 Original Masculino Frete Grátis 
77,81,895,https://produto.mercadolivre.com.br/MLB-845367255-tnis-nike-air-force-cano-alto-botinha-feminino-masculino-_JM, Tênis Nike Air Force Cano Alto Botinha Feminino Masculino 
60,212,3501,https://produto.mercadolivre.com.br/MLB-873024198-tnis-adidas-superstar-colorido-foundation-homem-e-mulher-_JM, Tênis adidas Superstar Colorido Foundation Homem E Mulher 
60,936,7763,https://produto.mercadolivre.com.br/MLB-746574488-tnis-bota-adventure-masculino-social-em-couro-salazari-_JM, Tênis Bota Adventure Masculino Social Em Couro Salazari 
120,13,165,https://produto.mercadolivre.com.br/MLB-916338075-tenis-masculino-adidas-lancamento-60-desconto-aproveite-_JM, Tenis Masculino adidas Lançamento! 60% Desconto Aproveite! 
45,,57,https://produto.mercadolivre.com.br/MLB-922862486-tnis-adidas-yezzy-boost-masculino-feminino-sapatnis--_JM, Tênis adidas Yezzy Boost Masculino Feminino Sapatênis ! 
148,3,132,https://produto.mercadolivre.com.br/MLB-914353693-tnis-mizuno-wave-prophecy-2-original-masculino-no-perca--_JM, Tênis Mizuno Wave Prophecy 2 Original Masculino Não Perca ! 
138,12,192,https://produto.mercadolivre.com.br/MLB-892647400-tnis-nike-shox-junior-masculino-original-4-molas-promoco--_JM, Tênis Nike Shox Júnior Masculino Original 4 Molas Promoção ! 
89,12,568,https://produto.mercadolivre.com.br/MLB-911792004-nmd-runner-r1-pk-boost-adidas-masculino-feminino-tendncia--_JM, Nmd Runner R1 Pk Boost adidas Masculino Feminino Tendência ! 
52,154,1575,https://produto.mercadolivre.com.br/MLB-842501065-tnis-masculino-nike-air-force-cano-longo-supreme-barato-_JM, Tênis Masculino Nike Air Force Cano Longo Supreme Barato 
198,2,144,https://produto.mercadolivre.com.br/MLB-914799204-tnis-mizuno-wave-prophecy-6-original-masculino-frete-gratis-_JM, Tênis Mizuno Wave Prophecy 6 Original Masculino Frete Grátis 
49,2,183,https://produto.mercadolivre.com.br/MLB-922861253-tnis-sapatnis-puma-ferrari-masculino-feminino-promoco-_JM, Tênis Sapatênis Puma Ferrari Masculino Feminino Promoção 
55,53,826,https://produto.mercadolivre.com.br/MLB-857037706-tnis-adidas-superstar-feminino-masculino-promoco-original-_JM, Tênis adidas Superstar Feminino Masculino Promoção Original 
138,6,101,https://produto.mercadolivre.com.br/MLB-905592278-tnis-nike-shox-junior-deliver-avenue-nz-masculino-feminino-_JM, Tênis Nike Shox Junior Deliver Avenue Nz Masculino Feminino! 
74,,202,https://produto.mercadolivre.com.br/MLB-925144898-tnis-asics-gel-sendai-feminino-masculino-promoco--_JM, Tênis Asics Gel Sendai Feminino Masculino Promoção ! 
120,8,118,https://produto.mercadolivre.com.br/MLB-916330474-tenis-masculino-nike-classico-promocao-60desconto-_JM, Tenis Masculino Nike Classico Promoçao 60%desconto! 
70,8,175,https://produto.mercadolivre.com.br/MLB-910104755-sapatenistenissapatopolo-masculino-e-feminino-promoco-_JM," Sapatenis,tenis,sapato,polo Masculino E Feminino Promoção "
138,1,65,https://produto.mercadolivre.com.br/MLB-925308297-tnis-nike-shox-junior-4-molas-masculino-promoco-imperdivel-_JM, Tênis Nike Shox Júnior 4 Molas Masculino Promoção Imperdível 
